stage,treatment,date
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 22:55:30
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 22:58:40
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:04:35
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:11:29
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:12:20
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:16:05
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:16:31
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:21:50
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:23:40
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:23:59
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:24:08
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",15-24-03
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",15-24-03
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:31:34
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",24-15-03 23:33:07
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:33:38
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:34:08
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:34:16
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:34:54
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:35:54
stage0,"['Minoxidil topical solution', 'Biotin supplements', 'Gentle hair care products']",2024-03-15 23:36:33
